sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"Soccer",null,3140,9346,"LILYDALE",null
"Soccer","2. Poor",3777,9347,"HEALESVILLE","26 - 50 Years"
"Soccer","4. Good",3139,9348,"WANDIN EAST","0 - 5 Years"
"Softball","4. Good",3137,9349,"KILSYTH","11 - 25 Years"
"Squash / Racquetball",null,3140,9350,"LILYDALE",null
"Swimming","4. Good",3160,9351,"BELGRAVE","11 - 25 Years"
"Swimming","3. Average",3137,9352,"KILSYTH","26 - 50 Years"
"Swimming","2. Poor",3140,9353,"LILYDALE","26 - 50 Years"
"Swimming","2. Poor",3793,9354,"MONBULK","26 - 50 Years"
"Swimming","1. Very Poor",3788,9355,"OLINDA","26 - 50 Years"
"Swimming","3. Average",3777,9356,"HEALESVILLE","26 - 50 Years"
"Swimming","5. Very Good",3797,9357,"YARRA JUNCTION","6 - 10 Years"
"Cycling",null,null,1828,null,null
"Table Tennis","4. Good",3137,9358,"KILSYTH","11 - 25 Years"
"Tennis (Outdoor)","4. Good",3160,9359,"BELGRAVE","11 - 25 Years"
"Tennis (Outdoor)",null,3116,9360,"CHIRNSIDE PARK",null
"Tennis (Outdoor)",null,3116,9361,"CHIRNSIDE PARK",null
